variable_category,definition
Homicide,"Killing of another purposely, in perpetrating or attempting to perpetrate an offense punishable by imprisonment, or otherwise with malice aforethought."
Sex Abuse,"One of many sexual acts against another, either forcibly or without his/her permission, and/or against a child or someone who is otherwise incapable of communicating unwillingness. The severity ranges from forcible rape to other forms of sexual contact."
Robbery,"The taking from another person, or immediate actual possession of another, anything of value, by force or violence, whether against resistance or by sudden or stealthy seizure or snatching, or by putting in fear. This category includes carjackings."
Assault Dangerous Weapon (ADW),"Knowingly or purposely causing serious bodily injury to another person, or threatening to do so; or under circumstances manifesting extreme indifference to human life, knowingly engaging in conduct that creates a grave risk of serious bodily injury to another person, and thereby causes serious bodily injury. Weapons include, but are not limited to, firearms, knives, other objects, hands and feet."
Burglary,"Breaking and entering, or entering without breaking, any dwelling, bank, store, warehouse, shop, stable, or other building or any apartment or room, whether at the time occupied or not, or any steamboat, canal boat, vessel, other watercraft, railroad car, or any yard where any lumber, coal, or other goods or chattels are deposited and kept for the purpose of trade, with intent to break and carry away any part thereof or any fixture or other thing attached to or connected with the same."
Theft/Other,"Theft of : This includes conduct previously known as larceny, larceny by trick, larceny by trust, embezzlement, theft of services and false pretenses. The Theft/Other category excludes theft of items from a motor vehicle or the motor vehicle itself, which are captured under other categories."
Theft F/Auto,"Theft of items from within a vehicle, excluding motor vehicle parts and accessories."
Stolen Auto,"Theft of a motor vehicle (any automobile, self-propelled mobile home, motorcycle, truck, truck tractor, truck tractor with semi trailer or trailer, or bus)"
Arson,"The malicious burning or attempt to burn any dwelling, house, barn, or stable adjoining thereto, or any store, barn, or outhouse, or any shop, office, stable, store, warehouse, or any other building, or any steamboat, vessel, canal boat, or other watercraft, or any railroad car, the property, in whole or in part, of another person, or any church, meetinghouse, schoolhouse, or any of the public buildings in the District, belonging to the United States or to the District of Columbia."
ADW,See Assault with a Dangerous Weapon
Assault Ð Aggravated Assault,"Knowingly or purposely causing serious bodily injury to another person; or under circumstances manifesting extreme indifference to human life, intentionally or knowingly engaging in conduct that creates a grave risk of serious bodily injury to another person, and thereby causing serious bodily injury."
Burglary Ð Attempt,Attempted burglary of a dwelling or other building.
Burglary Ð 1 Armed,"Committing the act of burglary by use of, or threatening the use of, any pistol or other firearm (or imitation thereof) or other dangerous or deadly weapon (including a sawed-off shotgun, shotgun, machine gun, rifle, dirk, bowie knife, butcher knife, switch-blade knife, razor, blackjack, billy, or metallic or other false knuckles)."
Burglary Ð 1,Burglary of a dwelling or other building that is occupied at the time of the event..
Burglary Ð 2,Burglary of a dwelling or other building that is not occupied at the time of the event..
Homicide Ð Gun,Killing of another by use of any pistol or other firearm.
Robbery Ð F&V,"Robbery force and violence. Robbery by use of, or threatening the use of, strong-arm tactics (personal weapons such as hands, arms, fists, feet, teeth, etc.)."
Robbery Ð Gun,"Robbery by use of, or threatening the use of, any pistol or other firearm."
Robbery Ð P/P,"Robbery pickpocket. Robbery committed by sudden and stealthy seizure of a wallet or other item from another's person either with or without his/her knowledge. If no force is used, this offense will be classified as a theft."
Robbery Ð Knife,"Robbery by use of, or threatening the use of, a knife or other cutting instrument."
Robbery Ð Snatch,"Robbery committed by sudden and stealthy seizure of a purse, wallet or other item from another person's possession in his/her presence either with or without his/her knowledge. If no force is used, this offense will be classified as a theft."
Robbery Ð Carjacking,"Knowingly or recklessly, whether against resistance or by sudden or stealthy seizure or snatching, or by putting in fear, or attempts to do so, taking from another person immediate's actual possession his/her motor vehicle."
Robbery Ð Carjacking-gun,"Knowingly or recklessly, by use of any pistol or other firearm, or by putting in fear, or attempts to do so, taking from another person immediate's actual possession his/her motor vehicle."
