Year,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
1960,763956,4230,81,111,1072,2966,16495,4587,9905,2003,553.7,10.6,14.5,140.3,388.2,2159.2,600.4,1296.5,262.2
1961,763956,4491,88,100,1348,2955,17093,4902,9732,2459,587.9,11.5,13.1,176.4,386.8,2237.4,641.7,1273.9,321.9
1962,784000,4750,91,82,1572,3005,17458,5022,9855,2581,605.9,11.6,10.5,200.5,383.3,2226.8,640.6,1257,329.2
1963,798000,4740,95,87,1707,2851,20844,6984,10395,3465,594,11.9,10.9,213.9,357.3,2612,875.2,1302.6,434.2
1964,808000,5112,132,96,2279,2605,25222,8910,10920,5392,632.7,16.3,11.9,282.1,322.4,3121.5,1102.7,1351.5,667.3
1965,803000,5804,148,140,2881,2635,28081,9886,12576,5619,722.8,18.4,17.4,358.8,328.1,3497,1231.1,1566.1,699.8
1966,808000,7155,141,134,3703,3177,32782,10498,15719,6565,885.5,17.5,16.6,458.3,393.2,4057.2,1299.3,1945.4,812.5
1967,809000,9252,178,172,5759,3143,44634,14702,21425,8507,1143.6,22,21.3,711.9,388.5,5517.2,1817.3,2648.3,1051.5
1968,809000,12180,195,260,8622,3103,51473,17950,22169,11354,1505.6,24.1,32.1,1065.8,383.6,6362.5,2218.8,2740.3,1403.5
1969,798000,17038,287,776,12366,3609,66002,22902,31910,11190,2135.1,36,97.2,1549.6,452.3,8270.9,2869.9,3998.7,1402.3
1970,756510,16846,221,720,11816,4089,65488,21740,32638,11110,2226.8,29.2,95.2,1561.9,540.5,8656.6,2873.7,4314.3,1468.6
1971,741000,16084,275,615,11222,3972,54432,18818,26882,8732,2170.6,37.1,83,1514.4,536,7345.7,2539.5,3627.8,1178.4
1972,748000,12607,245,714,7751,3897,46225,12801,27603,5821,1685.4,32.8,95.5,1036.2,521,6179.8,1711.4,3690.2,778.2
1973,746000,11626,268,596,7171,3591,47295,11801,30781,4713,1558.4,35.9,79.9,961.3,481.4,6339.8,1581.9,4126.1,631.8
1974,723000,11590,277,561,7941,2811,43054,14126,25004,3924,1603,38.3,77.6,1098.3,388.8,5954.9,1953.8,3458.4,542.7
1975,716000,12704,235,520,9137,2812,42453,13164,25892,3397,1774.3,32.8,72.6,1276.1,392.7,5929.2,1838.5,3616.2,474.4
1976,702000,10399,188,508,7044,2659,39327,11869,24506,2952,1481.3,26.8,72.4,1003.4,378.8,5602.1,1690.7,3490.9,420.5
1977,690000,9843,192,402,6655,2594,39978,11590,25646,2742,1426.5,27.8,58.3,964.5,375.9,5793.9,1679.7,3716.8,397.4
1978,674000,9515,189,447,6333,2546,41435,12497,25744,3194,1411.7,28,66.3,939.6,377.7,6147.6,1854.2,3819.6,473.9
1979,656000,10553,180,489,6920,2964,45877,13452,28819,3606,1608.7,27.4,74.5,1054.9,451.8,6993.4,2050.6,4393.1,549.7
1980,635233,12772,200,439,8897,3236,50896,16260,31068,3568,2010.6,31.5,69.1,1400.6,509.4,8012.2,2559.7,4890.8,561.7
1981,636000,14468,223,414,10399,3432,53442,16832,32845,3765,2274.8,35.1,65.1,1635.1,539.6,8402.8,2646.5,5164.3,592
1982,631000,13397,194,421,9137,3645,52295,14774,33435,4086,2123.1,30.7,66.7,1448,577.7,8287.6,2341.4,5298.7,647.5
1983,623000,11933,183,406,7698,3646,45843,12483,29405,3955,1915.4,29.4,65.2,1235.6,585.2,7358.4,2003.7,4719.9,634.8
1984,623000,10725,175,366,6087,4097,42799,10954,27471,4374,1721.5,28.1,58.7,977,657.6,6869.8,1758.3,4409.5,702.1
1985,626000,10171,147,337,5230,4457,39904,10005,24874,5025,1624.8,23.5,53.8,835.5,712,6374.4,1598.2,3973.5,802.7
1986,626000,9423,194,328,4720,4181,42781,10815,25861,6105,1505.3,31,52.4,754,667.9,6834,1727.6,4131.2,975.2
1987,622000,10016,225,245,4462,5084,42553,11244,25012,6297,1610.3,36.2,39.4,717.4,817.4,6841.3,1807.7,4021.2,1012.4
1988,620000,11914,369,165,5690,5690,49557,12300,28624,8633,1921.6,59.5,26.6,917.7,917.7,7993.1,1983.9,4616.8,1392.4
1989,604000,12937,434,186,6542,5775,49235,11780,29164,8291,2141.9,71.9,30.8,1083.1,956.1,8151.5,1950.3,4828.5,1372.7
1990,606900,14919,472,303,7365,6779,50470,12035,30326,8109,2458.2,77.8,49.9,1213.5,1117,8316,1983,4996.9,1336.1
1991,598000,14671,482,214,7269,6706,49722,12405,29182,8135,2453.3,80.6,35.8,1215.6,1121.4,8314.7,2074.4,4879.9,1360.4
1992,589000,16685,443,215,7459,8568,50502,10721,30663,9118,2832.8,75.2,36.5,1266.4,1454.7,8574.2,1820.2,5205.9,1548
1993,578000,16888,454,324,7107,9003,51091,11534,31495,8062,2921.8,78.5,56.1,1229.6,1557.6,8839.3,1995.5,5449,1394.8
1994,570000,15177,399,249,6311,8218,48009,10037,29711,8261,2662.6,70,43.7,1107.2,1441.8,8422.6,1760.9,5212.5,1449.3
1995,554000,14744,360,292,6864,7228,52697,10185,32319,10193,2661.4,65,52.7,1239,1304.7,9512.1,1838.4,5833.8,1839.9
1996,543000,13411,397,260,6444,6310,51188,9828,31385,9975,2469.8,73.1,47.9,1186.7,1162.1,9426.9,1809.9,5779.9,1837
